Agent Name,Rating,Delivery Time (min),Location,Order Type,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Customer Service Rating,Order Accuracy
Zepto,3.7,57,Pune,Electronics,Neutral,Low,No,In Stock,5,Correct
Zepto,4.6,18,Jaipur,Pharmacy,Positive,Medium,Yes,In Stock,4,Correct
Swiggy Instamart,2.5,60,Bangalore,Grocery,Negative,High,No,In Stock,1,Correct
Blinkit,1,41,Lucknow,Essentials,Neutral,Low,No,Out of Stock,1,Incorrect
Zepto,1.6,31,Chennai,Grocery,Negative,High,No,In Stock,2,Incorrect
JioMart,1.5,56,Hyderabad,Pharmacy,Negative,High,No,Out of Stock,3,Correct
Swiggy Instamart,2.1,13,Chennai,Pharmacy,Negative,Medium,Yes,In Stock,4,Correct
JioMart,1.2,59,Kolkata,Essentials,Neutral,Low,No,In Stock,2,Incorrect
JioMart,2.7,19,Bangalore,Essentials,Positive,High,No,In Stock,3,Incorrect
JioMart,1.9,25,Ahmedabad,Pharmacy,Neutral,Low,No,Out of Stock,2,Incorrect
JioMart,4.1,25,Hyderabad,Pharmacy,Negative,High,No,In Stock,2,Correct
Swiggy Instamart,2.7,46,Pune,Essentials,Positive,Medium,No,Out of Stock,1,Incorrect
JioMart,4.3,58,Chennai,Grocery,Neutral,High,Yes,Out of Stock,3,Correct
Swiggy Instamart,3.6,40,Hyderabad,Pharmacy,Negative,Medium,No,In Stock,2,Correct
Zepto,3.7,52,Hyderabad,Essentials,Neutral,Low,Yes,In Stock,5,Incorrect
Zepto,1.2,33,Hyderabad,Electronics,Negative,Medium,Yes,Out of Stock,4,Correct
Swiggy Instamart,1.6,57,Kolkata,Electronics,Positive,High,Yes,In Stock,1,Incorrect
Zepto,3.3,46,Mumbai,Essentials,Positive,High,No,In Stock,4,Correct
JioMart,4.4,23,Chennai,Essentials,Positive,Medium,No,In Stock,3,Incorrect
Swiggy Instamart,3.6,11,Kolkata,Food,Neutral,High,Yes,Out of Stock,2,Correct
Swiggy Instamart,3.4,59,Jaipur,Pharmacy,Positive,High,No,Out of Stock,4,Correct
JioMart,4.7,23,Jaipur,Pharmacy,Neutral,Medium,No,In Stock,5,Correct
Swiggy Instamart,1.4,47,Pune,Food,Neutral,Low,No,Out of Stock,5,Incorrect
Blinkit,1.7,43,Mumbai,Essentials,Negative,Low,No,Out of Stock,2,Correct
Zepto,1.6,11,Pune,Grocery,Neutral,High,No,Out of Stock,2,Incorrect
Blinkit,4.7,60,Jaipur,Electronics,Negative,High,No,Out of Stock,1,Incorrect
JioMart,2.6,18,Kolkata,Grocery,Neutral,Medium,Yes,Out of Stock,4,Correct
Zepto,1.3,46,Jaipur,Essentials,Positive,Medium,Yes,In Stock,5,Incorrect
Blinkit,1.5,49,Delhi,Pharmacy,Negative,High,No,In Stock,3,Incorrect
Swiggy Instamart,3.8,13,Delhi,Food,Positive,Low,No,In Stock,2,Incorrect
Blinkit,2.6,20,Pune,Essentials,Positive,Medium,No,Out of Stock,3,Incorrect
Swiggy Instamart,2.9,54,Lucknow,Pharmacy,Negative,Low,No,In Stock,4,Incorrect
Zepto,5,55,Chennai,Grocery,Negative,High,Yes,In Stock,2,Incorrect
Swiggy Instamart,4.3,60,Hyderabad,Essentials,Negative,High,No,Out of Stock,5,Correct
Swiggy Instamart,4.3,26,Delhi,Electronics,Positive,High,Yes,Out of Stock,2,Correct
JioMart,4.6,43,Ahmedabad,Essentials,Positive,High,Yes,In Stock,1,Incorrect
Blinkit,4.9,16,Kolkata,Essentials,Neutral,High,No,In Stock,4,Correct
Zepto,3,21,Jaipur,Grocery,Negative,High,Yes,In Stock,3,Correct
Swiggy Instamart,4.8,59,Lucknow,Food,Positive,Low,No,In Stock,3,Incorrect
Swiggy Instamart,4.8,21,Lucknow,Food,Negative,High,Yes,In Stock,1,Incorrect
Blinkit,4.3,48,Pune,Food,Neutral,Medium,Yes,Out of Stock,3,Correct
JioMart,3.8,28,Delhi,Pharmacy,Positive,High,No,Out of Stock,2,Correct
Blinkit,2.2,12,Pune,Food,Negative,High,No,Out of Stock,3,Incorrect
JioMart,4,48,Kolkata,Food,Positive,Low,Yes,In Stock,4,Incorrect
Zepto,3.2,21,Lucknow,Essentials,Positive,Medium,Yes,In Stock,1,Incorrect
Swiggy Instamart,2.2,59,Mumbai,Grocery,Negative,High,Yes,Out of Stock,4,Correct
Swiggy Instamart,1.4,54,Jaipur,Electronics,Positive,High,Yes,Out of Stock,1,Incorrect
Swiggy Instamart,4.4,18,Hyderabad,Food,Negative,High,Yes,Out of Stock,2,Correct
Zepto,1.7,55,Hyderabad,Pharmacy,Positive,High,Yes,Out of Stock,4,Incorrect
Blinkit,4.3,31,Pune,Essentials,Positive,High,Yes,Out of Stock,4,Correct
JioMart,3.1,13,Pune,Grocery,Positive,High,Yes,Out of Stock,5,Correct
Zepto,4.8,54,Pune,Grocery,Positive,Low,Yes,Out of Stock,1,Correct
Zepto,4.2,17,Kolkata,Electronics,Positive,Medium,Yes,In Stock,5,Correct
Swiggy Instamart,1.2,49,Mumbai,Electronics,Positive,Medium,No,In Stock,5,Correct
Swiggy Instamart,4.7,53,Chennai,Grocery,Neutral,Medium,Yes,In Stock,4,Incorrect
Zepto,1.1,19,Jaipur,Food,Negative,Low,Yes,Out of Stock,2,Correct
Blinkit,3.7,60,Delhi,Essentials,Neutral,Low,Yes,In Stock,1,Correct
Swiggy Instamart,2.8,22,Bangalore,Pharmacy,Negative,Medium,No,In Stock,5,Incorrect
JioMart,2.2,40,Pune,Food,Negative,Medium,No,In Stock,3,Incorrect
Blinkit,5,45,Delhi,Electronics,Neutral,Medium,Yes,In Stock,5,Incorrect
Blinkit,4.2,27,Delhi,Electronics,Neutral,Medium,Yes,Out of Stock,4,Correct
Zepto,3.8,54,Jaipur,Grocery,Neutral,Low,No,In Stock,4,Correct
Zepto,4.6,29,Delhi,Essentials,Positive,Low,No,In Stock,2,Incorrect
JioMart,4,34,Kolkata,Pharmacy,Positive,Medium,No,In Stock,2,Correct
JioMart,3.1,15,Chennai,Food,Negative,Medium,No,In Stock,3,Correct
Blinkit,4.7,38,Lucknow,Pharmacy,Negative,Medium,No,Out of Stock,1,Incorrect
JioMart,4.7,26,Jaipur,Electronics,Negative,Medium,Yes,Out of Stock,5,Correct
JioMart,3,12,Ahmedabad,Pharmacy,Neutral,Medium,Yes,In Stock,4,Correct
Swiggy Instamart,3.7,23,Delhi,Essentials,Neutral,High,No,In Stock,4,Correct
JioMart,2.6,11,Hyderabad,Electronics,Positive,Low,Yes,Out of Stock,3,Incorrect
Zepto,1.7,31,Pune,Electronics,Neutral,Medium,No,In Stock,2,Correct
Zepto,2.1,47,Hyderabad,Pharmacy,Negative,Medium,No,In Stock,4,Incorrect
Zepto,4.7,49,Mumbai,Pharmacy,Neutral,High,Yes,Out of Stock,3,Correct
Blinkit,2.7,47,Kolkata,Pharmacy,Negative,Medium,Yes,Out of Stock,2,Correct
JioMart,1.1,35,Mumbai,Essentials,Neutral,Medium,Yes,In Stock,5,Incorrect
Blinkit,1.6,16,Delhi,Electronics,Neutral,High,No,Out of Stock,2,Correct
Blinkit,2.8,32,Hyderabad,Grocery,Negative,Low,No,Out of Stock,3,Correct
JioMart,4.2,60,Lucknow,Grocery,Neutral,Low,No,Out of Stock,2,Incorrect
Zepto,3.2,31,Kolkata,Pharmacy,Neutral,High,Yes,Out of Stock,3,Incorrect
Blinkit,3.7,59,Kolkata,Food,Positive,Medium,Yes,In Stock,3,Correct
JioMart,4.8,19,Mumbai,Electronics,Negative,High,No,Out of Stock,5,Correct
Blinkit,2.2,41,Ahmedabad,Grocery,Neutral,Medium,Yes,Out of Stock,1,Incorrect
JioMart,1.3,41,Ahmedabad,Pharmacy,Negative,High,No,Out of Stock,5,Incorrect
JioMart,2.1,22,Hyderabad,Grocery,Neutral,Low,Yes,In Stock,2,Incorrect
Zepto,2.7,17,Kolkata,Pharmacy,Neutral,Low,Yes,In Stock,5,Correct
JioMart,1.7,29,Chennai,Grocery,Neutral,High,No,In Stock,2,Correct
Blinkit,1.4,47,Delhi,Essentials,Positive,High,Yes,Out of Stock,5,Incorrect
Zepto,4.1,13,Pune,Essentials,Neutral,Low,No,In Stock,5,Correct
Blinkit,1,42,Hyderabad,Food,Positive,High,No,Out of Stock,2,Incorrect
Swiggy Instamart,3.7,14,Pune,Grocery,Neutral,Medium,No,In Stock,3,Correct
Swiggy Instamart,3.1,34,Mumbai,Essentials,Negative,High,No,In Stock,4,Correct
Blinkit,3.6,22,Lucknow,Food,Neutral,Medium,Yes,Out of Stock,5,Correct
Swiggy Instamart,4.3,29,Kolkata,Electronics,Neutral,Medium,No,In Stock,1,Correct
Blinkit,2.3,33,Ahmedabad,Grocery,Neutral,High,Yes,Out of Stock,1,Incorrect
Zepto,3.8,41,Jaipur,Food,Neutral,Medium,Yes,Out of Stock,4,Incorrect
JioMart,3.2,37,Lucknow,Essentials,Positive,Low,No,In Stock,5,Correct
Blinkit,3.2,40,Lucknow,Food,Negative,Medium,No,In Stock,3,Correct
JioMart,2.8,53,Bangalore,Food,Neutral,Medium,No,In Stock,4,Incorrect
Swiggy Instamart,2.8,41,Hyderabad,Essentials,Neutral,Medium,No,In Stock,1,Incorrect
Swiggy Instamart,4.3,57,Jaipur,Essentials,Positive,High,No,Out of Stock,3,Incorrect
Swiggy Instamart,5,38,Pune,Pharmacy,Negative,High,Yes,In Stock,3,Incorrect
Swiggy Instamart,2,40,Delhi,Essentials,Positive,High,Yes,Out of Stock,3,Incorrect
Blinkit,1,57,Pune,Food,Positive,Medium,Yes,Out of Stock,2,Correct
JioMart,4.8,47,Pune,Pharmacy,Neutral,High,No,Out of Stock,3,Correct
Blinkit,1.2,36,Delhi,Electronics,Negative,Low,Yes,Out of Stock,3,Correct
Swiggy Instamart,4,39,Delhi,Electronics,Neutral,High,Yes,Out of Stock,3,Correct
Swiggy Instamart,4.8,44,Jaipur,Electronics,Negative,High,Yes,Out of Stock,4,Correct
Blinkit,4.8,13,Bangalore,Electronics,Positive,High,Yes,In Stock,4,Incorrect
JioMart,3,55,Lucknow,Electronics,Neutral,Low,Yes,In Stock,5,Incorrect
Blinkit,1.9,33,Delhi,Grocery,Negative,Medium,No,In Stock,2,Correct
Zepto,1.9,54,Delhi,Food,Positive,Low,Yes,In Stock,2,Correct
Blinkit,5,54,Lucknow,Essentials,Neutral,Low,No,Out of Stock,5,Incorrect
Zepto,3.4,45,Mumbai,Grocery,Negative,High,No,In Stock,2,Incorrect
Swiggy Instamart,2,58,Bangalore,Food,Neutral,Low,No,Out of Stock,1,Correct
JioMart,3.4,40,Jaipur,Grocery,Positive,Low,No,In Stock,1,Incorrect
JioMart,2.1,37,Delhi,Essentials,Positive,Low,No,In Stock,3,Incorrect
JioMart,4.2,17,Kolkata,Grocery,Neutral,High,No,Out of Stock,4,Incorrect
Blinkit,1.7,46,Hyderabad,Essentials,Positive,Low,No,Out of Stock,3,Correct
JioMart,1.3,17,Bangalore,Pharmacy,Neutral,Low,No,Out of Stock,5,Incorrect
JioMart,3.4,59,Jaipur,Essentials,Negative,Medium,Yes,In Stock,5,Correct
Blinkit,2.2,26,Hyderabad,Essentials,Negative,Medium,No,Out of Stock,2,Correct
Zepto,2.6,39,Hyderabad,Grocery,Positive,Medium,No,Out of Stock,4,Incorrect
Swiggy Instamart,1.4,46,Hyderabad,Food,Positive,Low,No,In Stock,3,Correct
JioMart,2.9,13,Delhi,Essentials,Negative,Low,Yes,In Stock,5,Incorrect
Swiggy Instamart,3.8,26,Pune,Electronics,Positive,Medium,Yes,Out of Stock,2,Incorrect
Swiggy Instamart,5,29,Pune,Electronics,Negative,Medium,Yes,In Stock,5,Incorrect
Blinkit,3.1,12,Chennai,Grocery,Positive,Medium,No,Out of Stock,1,Correct
JioMart,3.2,59,Pune,Essentials,Positive,Low,No,In Stock,1,Incorrect
Swiggy Instamart,3.6,31,Pune,Electronics,Positive,Low,Yes,Out of Stock,5,Correct
Swiggy Instamart,2.6,26,Lucknow,Food,Negative,Low,No,In Stock,5,Incorrect
JioMart,4.7,41,Pune,Electronics,Negative,Medium,No,In Stock,4,Incorrect
Swiggy Instamart,3.7,25,Mumbai,Electronics,Neutral,High,Yes,In Stock,1,Incorrect
Blinkit,4.1,59,Pune,Essentials,Neutral,High,No,Out of Stock,1,Incorrect
Blinkit,1.5,33,Jaipur,Food,Positive,High,Yes,In Stock,5,Correct
Swiggy Instamart,2.5,50,Pune,Essentials,Positive,High,Yes,In Stock,4,Correct
Swiggy Instamart,1.3,39,Mumbai,Electronics,Neutral,Medium,No,Out of Stock,4,Correct
Swiggy Instamart,4.3,10,Pune,Essentials,Negative,High,Yes,In Stock,2,Incorrect
Blinkit,2.3,30,Mumbai,Pharmacy,Positive,High,No,Out of Stock,4,Incorrect
Zepto,1.9,55,Bangalore,Essentials,Positive,High,Yes,In Stock,4,Incorrect
Blinkit,4.4,41,Pune,Grocery,Neutral,Low,Yes,In Stock,1,Incorrect
JioMart,3.8,53,Pune,Pharmacy,Negative,High,No,Out of Stock,3,Correct
Blinkit,1.1,49,Delhi,Food,Neutral,Low,No,Out of Stock,2,Correct
Blinkit,1.7,47,Ahmedabad,Essentials,Positive,High,Yes,In Stock,3,Incorrect
Swiggy Instamart,3,50,Chennai,Grocery,Neutral,High,Yes,In Stock,4,Incorrect
JioMart,1.7,43,Kolkata,Electronics,Positive,Low,No,In Stock,5,Correct
Swiggy Instamart,4.6,47,Kolkata,Essentials,Positive,Low,Yes,In Stock,2,Correct
Swiggy Instamart,4.8,38,Lucknow,Pharmacy,Positive,Low,No,Out of Stock,5,Incorrect
Zepto,3,27,Delhi,Electronics,Neutral,Medium,No,In Stock,3,Incorrect
Blinkit,1.7,53,Ahmedabad,Pharmacy,Neutral,High,No,Out of Stock,1,Incorrect
Blinkit,2.8,27,Hyderabad,Essentials,Positive,Low,Yes,Out of Stock,1,Correct
Blinkit,1.1,25,Kolkata,Grocery,Positive,High,Yes,In Stock,1,Incorrect
Swiggy Instamart,3.7,39,Pune,Electronics,Negative,High,No,In Stock,3,Incorrect
Zepto,3.5,57,Hyderabad,Electronics,Neutral,High,Yes,In Stock,5,Correct
Zepto,1.5,21,Jaipur,Food,Negative,High,No,In Stock,1,Correct
JioMart,3.5,11,Lucknow,Essentials,Neutral,Low,No,In Stock,3,Incorrect
Zepto,3.2,56,Bangalore,Electronics,Positive,Low,Yes,In Stock,2,Correct
Zepto,2.7,48,Pune,Electronics,Positive,Low,Yes,In Stock,1,Correct
JioMart,3.3,33,Jaipur,Electronics,Neutral,Medium,Yes,Out of Stock,2,Correct
Zepto,3.3,19,Mumbai,Essentials,Positive,Medium,Yes,In Stock,1,Incorrect
Zepto,3.3,20,Delhi,Pharmacy,Positive,Medium,Yes,In Stock,4,Incorrect
Swiggy Instamart,3.8,34,Ahmedabad,Grocery,Positive,Medium,No,In Stock,2,Correct
Swiggy Instamart,3.8,10,Lucknow,Pharmacy,Neutral,High,Yes,Out of Stock,4,Correct
JioMart,4,12,Bangalore,Food,Neutral,High,No,Out of Stock,4,Incorrect
Blinkit,2.3,22,Ahmedabad,Electronics,Negative,Low,Yes,Out of Stock,2,Correct
JioMart,4.5,55,Chennai,Grocery,Negative,Medium,Yes,In Stock,5,Incorrect
JioMart,4.6,47,Jaipur,Grocery,Negative,Medium,No,Out of Stock,4,Incorrect
Zepto,1.7,26,Bangalore,Electronics,Positive,High,Yes,In Stock,3,Incorrect
Swiggy Instamart,1,59,Lucknow,Grocery,Negative,Medium,No,Out of Stock,5,Correct
Swiggy Instamart,2.2,58,Bangalore,Essentials,Neutral,Low,No,In Stock,5,Correct
JioMart,1.8,30,Chennai,Grocery,Negative,Medium,Yes,Out of Stock,5,Incorrect
JioMart,4.2,60,Kolkata,Pharmacy,Positive,Medium,Yes,Out of Stock,3,Incorrect
Swiggy Instamart,1.2,53,Delhi,Essentials,Negative,Medium,No,Out of Stock,2,Incorrect
Swiggy Instamart,4.1,57,Jaipur,Essentials,Positive,Medium,Yes,In Stock,5,Correct
Zepto,3,12,Chennai,Essentials,Positive,Medium,Yes,Out of Stock,4,Correct
Zepto,1.5,56,Delhi,Food,Positive,Low,No,In Stock,2,Correct
Swiggy Instamart,1.9,31,Lucknow,Essentials,Positive,High,Yes,Out of Stock,3,Incorrect
Swiggy Instamart,3.8,19,Chennai,Electronics,Positive,Low,No,Out of Stock,3,Correct
Swiggy Instamart,2.7,10,Kolkata,Pharmacy,Negative,Low,Yes,Out of Stock,3,Correct
Blinkit,3.1,46,Lucknow,Grocery,Negative,Low,No,Out of Stock,3,Correct
Zepto,4.4,30,Hyderabad,Electronics,Positive,Low,No,In Stock,1,Correct
Zepto,4.2,30,Chennai,Food,Neutral,Low,Yes,Out of Stock,5,Incorrect
JioMart,4.1,35,Chennai,Electronics,Neutral,Medium,Yes,In Stock,2,Correct
JioMart,1.2,22,Chennai,Grocery,Negative,Medium,Yes,Out of Stock,4,Correct
Zepto,2.5,53,Kolkata,Essentials,Negative,Medium,No,Out of Stock,1,Correct
Blinkit,2.4,35,Ahmedabad,Food,Neutral,Medium,No,Out of Stock,3,Correct
Swiggy Instamart,4.1,21,Lucknow,Pharmacy,Neutral,Low,No,Out of Stock,1,Correct
Blinkit,1.5,18,Bangalore,Food,Negative,Medium,Yes,In Stock,1,Correct
Zepto,3.3,58,Jaipur,Food,Negative,High,Yes,In Stock,4,Incorrect
Swiggy Instamart,1.7,31,Delhi,Grocery,Positive,Medium,Yes,In Stock,3,Incorrect
Swiggy Instamart,3.5,40,Lucknow,Grocery,Positive,Low,No,Out of Stock,2,Correct
Zepto,2.6,34,Pune,Grocery,Negative,Low,Yes,Out of Stock,4,Correct
Zepto,4.9,48,Delhi,Food,Positive,High,No,In Stock,1,Correct
Blinkit,1.3,35,Kolkata,Electronics,Negative,Low,No,Out of Stock,2,Incorrect
JioMart,4.1,28,Bangalore,Grocery,Neutral,Low,No,Out of Stock,1,Correct
Blinkit,3.8,57,Mumbai,Electronics,Neutral,High,Yes,In Stock,3,Incorrect
JioMart,2.4,29,Jaipur,Grocery,Positive,High,No,Out of Stock,3,Correct
Blinkit,1.2,40,Pune,Grocery,Neutral,Medium,Yes,In Stock,2,Correct
Blinkit,2.4,33,Bangalore,Essentials,Positive,Low,Yes,Out of Stock,3,Correct
Zepto,4.8,13,Pune,Essentials,Neutral,Low,No,In Stock,3,Correct
JioMart,2.6,34,Mumbai,Food,Neutral,High,No,Out of Stock,4,Incorrect
Swiggy Instamart,1.1,34,Chennai,Electronics,Negative,Low,Yes,In Stock,1,Incorrect
Zepto,1.8,41,Delhi,Grocery,Neutral,High,Yes,Out of Stock,1,Incorrect
Swiggy Instamart,2.2,23,Ahmedabad,Pharmacy,Neutral,High,Yes,In Stock,3,Incorrect
Swiggy Instamart,2,42,Chennai,Electronics,Positive,Low,Yes,Out of Stock,5,Correct
Blinkit,1.3,49,Mumbai,Pharmacy,Neutral,Low,No,In Stock,3,Incorrect
Zepto,3.9,57,Ahmedabad,Essentials,Negative,High,Yes,Out of Stock,1,Incorrect
JioMart,4.7,58,Kolkata,Grocery,Negative,High,No,Out of Stock,1,Correct
Zepto,4.6,48,Pune,Pharmacy,Neutral,Medium,Yes,Out of Stock,5,Correct
Blinkit,3.7,17,Jaipur,Food,Positive,Low,No,Out of Stock,3,Correct
JioMart,1.8,34,Delhi,Grocery,Neutral,Low,No,In Stock,3,Incorrect
JioMart,3.5,57,Hyderabad,Essentials,Negative,High,No,Out of Stock,4,Incorrect
Blinkit,2.1,38,Hyderabad,Grocery,Positive,Low,No,Out of Stock,4,Incorrect
JioMart,4.9,43,Bangalore,Pharmacy,Positive,High,Yes,Out of Stock,5,Correct
JioMart,3.4,34,Mumbai,Grocery,Positive,High,Yes,In Stock,1,Incorrect
JioMart,2.5,60,Ahmedabad,Electronics,Negative,Medium,No,Out of Stock,1,Correct
Zepto,3.3,18,Delhi,Electronics,Neutral,Medium,No,In Stock,5,Correct
Swiggy Instamart,1.1,14,Ahmedabad,Pharmacy,Negative,Medium,No,Out of Stock,4,Incorrect
JioMart,3.1,14,Lucknow,Food,Negative,High,No,In Stock,5,Correct
JioMart,4.3,57,Jaipur,Pharmacy,Positive,Low,Yes,Out of Stock,3,Incorrect
Zepto,4.5,48,Hyderabad,Electronics,Negative,Low,Yes,In Stock,5,Correct
Blinkit,2.9,54,Delhi,Food,Positive,High,No,In Stock,5,Incorrect
Zepto,2.6,26,Hyderabad,Grocery,Positive,High,Yes,In Stock,3,Incorrect
Blinkit,4.2,11,Delhi,Grocery,Positive,Low,Yes,In Stock,4,Incorrect
Blinkit,4.9,14,Jaipur,Electronics,Neutral,High,Yes,Out of Stock,5,Incorrect
JioMart,3,54,Jaipur,Essentials,Positive,Low,No,Out of Stock,2,Correct
Swiggy Instamart,1,40,Bangalore,Grocery,Neutral,High,No,Out of Stock,1,Correct
JioMart,1.6,21,Hyderabad,Food,Neutral,Medium,No,Out of Stock,2,Correct
Zepto,2.8,48,Pune,Food,Negative,Low,No,Out of Stock,5,Correct
Zepto,2.3,18,Bangalore,Essentials,Neutral,Medium,No,In Stock,1,Incorrect
Swiggy Instamart,2.6,30,Ahmedabad,Electronics,Negative,High,Yes,Out of Stock,5,Correct
Swiggy Instamart,3.7,35,Delhi,Food,Neutral,Low,No,In Stock,1,Incorrect
Swiggy Instamart,1.4,43,Lucknow,Grocery,Positive,Low,Yes,Out of Stock,4,Correct
Blinkit,4.4,28,Jaipur,Pharmacy,Negative,Medium,No,Out of Stock,1,Incorrect
Zepto,3.2,13,Delhi,Pharmacy,Neutral,High,Yes,In Stock,5,Incorrect
JioMart,4.6,51,Pune,Pharmacy,Positive,Medium,No,Out of Stock,4,Correct
Blinkit,1.6,14,Pune,Food,Negative,Low,No,In Stock,4,Correct
Zepto,2.9,12,Pune,Electronics,Negative,Medium,No,In Stock,1,Correct
Blinkit,4,37,Ahmedabad,Pharmacy,Negative,Medium,Yes,In Stock,4,Incorrect
